,레시피일련번호,레시피제목,요리명,등록자ID,등록자명,조회수,추천수,스크랩수,요리방법,요리상황,요리재료별명,요리종류,요리소개,요리재료들,요리인분,요리난이도,요리시간,최초등록일,ingre1
305,6930962,원팬요리 몬스터크랩 크래미전 # 게맛살전 #,게맛살전,30810305,요리조이,1629,0,27,부침,일상,해물류,밑반찬,< 초간단요리 > 어른이나 애들이나 모두 좋아하는 크래미전 만들기는 간단한데 맛이 너무 좋아요 ,[재료] 몬스터크랩 3개| 양파 1/2개| 박력분 3T| 달걀 2개 [양념] 멸치액젓 1T,4인분,초급,10분이내,2.02E+13," 몬스터크랩, 양파, 박력분, 달걀, 멸치액젓"
306,6930971,시나몬 싫어하는 사람도 맛있게 먹을수있는 시나몬머핀,시나몬머핀,ttadossi,따도씨,273,0,15,굽기,기타,곡류,빵,시나몬 좋아하시나요?   예전엔 시나몬 향을 싫어했는데 요즘은 은은한 시나몬의 향이 좋아졌어요  시나몬 싫어하는 분들도 좋아하실 만한 레시피에요   ,[마지팬] 아몬드가루 50g| 설탕 50g| 계란흰자 5g| 물 5g [재료] 무염버터 125g| 설탕 88g| 마지팬 80g| 계란 110g| 박력분 96g| 아몬드가루 33g| 시나몬가루 1/2작은술| 베이킹파우더 1/2작은술| 바닐라 익스트랙트 1작은술| 우유 70g,6인분이상,초급,60분이내,2.02E+13," 아몬드가루, 설탕, 달걀, 물, 버터, 설탕, 마지팬, 박력분, 아몬드가루, 시나몬가루, 베이킹파우더, 바닐라익스트랙트, 우유"
307,6930976,집들이음식 생선요리 중식스타일 생선탕수만들기,생선탕수,qkrfp458,레몬콩,1336,0,42,굽기,손님접대,해물류,메인반찬,저는 개인적으로 고기도 좋지만 생선도 굉장히 좋아해요~그런데다 집안 행사도 많다보니까 집에 생선이 좀 많거든요 그런데 매번 구워만 먹으려니 솔직히 질리기도 하고 그래서 만들어본 중식스타일의 생선탕수입니다! 탕수라고는 하지만 전분물이 안들어가고 만드는법은 의외로 간단한데 비주얼은 좋아서 손님대접할때도 좋아요~,[재료] 흰살 생선 1마리| 양파 1/2개| 대파 1/2개| 홍고추 1개 [소스] 간장 6T| 굴소스 2T| 물엿 2.5T| 식초 10T| 다진마늘 1t| 물 70ml| 청양고추 1개,2인분,초급,60분이내,2.02E+13,"생선, 양파, 대파, 고추, 간장, 굴소스, 물엿, 식초, 다진마늘, 물, 청양고추"
308,6930978,짭짤이 토마토랑 후레쉬 모짜렐라 샐러드~,후레쉬모짜렐라샐러드,98491802,팝콘애,452,0,8,기타,일상,과일류,디저트,짭짤이 토마토랑 간단히 아침에 브런치 준비하다 개나리 접시에 빠져 클래식 음악 감상  하며 아메리카노 한잔으로 토요일 주말 아침을 간단히 즐겨봅니다.ㅎㅎ 즐~~~~~~~~^^주말 보내세요.^^♡♡,[재료] 토마토| 후레쉬 모짜렐라 적당량 | 오이| 알로애맛 요거트 적당량,2인분,아무나,15분이내,2.02E+13," 토마토, 모짜렐라치즈, 오이, 요거트"
309,6930980,홍콩 란퐁유엔 토스트 만들기  색다른 식빵요리,란퐁유엔토스트,wlsgml85,선데이레시피,770,0,25,부침,간식,달걀/유제품,빵,홍콩의 유명한 맛집인 란퐁유엔의 토스트를 직접 만들어봤어요~ 여행을 못가는 대신 집에서 맛있게 즐겨보세요. :),[홍콩 란퐁유엔 토스트재료] 식빵 2장| 계란 2개| 카야잼 1스푼| 연유나 꿀 메이플시럽등 1스푼| 버터 1조각,1인분,아무나,,2.02E+13," 식빵, 달걀, 카야잼, 연유, 버터"
310,6930987,맛있는 얼갈이 배추김치 담그는법,얼갈이배추김치,63756660,백합엄마,11005,0,177,무침,일상,채소류,김치/젓갈/장류, 얼갈이 배추김치 입니다 봄이 왔으니 묵은김치보다   봄김치 햇김치가 먹고 싶었는데 마침 아파트에 농산물직거래 하는데서 신선한 얼갈이배추를 구입하게 됐네요   ,[재료] 얼갈이 2단| 쪽파 2줌| 고추가루 10큰술| 찹쌀가루 1/3컵| 멸치액젓 1/2컵| 새우젓 2큰술| 갈은양파 1개| 다진마늘 3큰술| 생강 2쪽| 설탕 1큰술| 통깨 약간,6인분이상,아무나,60분이내,2.02E+13," 얼갈이배추, 쪽파, 고춧가루, 찹쌀가루, 멸치액젓, 새우젓, 양파, 다진마늘, 생강, 설탕, 통깨"
311,6930992,반숙 달걀장 만드는 법! 맛있는 간장 끓이는 방법까지~,반숙달걀장,81993335,신간,1499,0,19,조림,일상,달걀/유제품,밑반찬,두고두고 먹을수있는 밥 반찬만들기~  반숙 달걀장으로 맛나게~,[재료] 달걀 15개| 대파뿌리 10개| 양파 1개| 대파 2개| 마늘 20알| 가스오 40g| 생강 1개| 청양 4개| 레몬 1개 [간장양념] 진간장 1L| 미림 0.5ml| 소주 1병| 설탕 700g| 물 700ml,6인분이상,중급,60분이내,2.02E+13," 달걀, 대파, 양파, 대파, 마늘, 가쓰오부시, 생강, 청양고추, 레몬, 진간장, 미림, 소주, 설탕, 물"
312,6930996,파김치부침개 비오는날 막걸리안주로~,파김치부침개,kpmj1,바겨사,1269,0,24,부침,술안주,채소류,메인반찬,비가 오락가락하는 날씨죠? 우리집은 아침 10시부터 거실에서 삼겹살 파티를 했어요. 제가 많이 먹으려고 아침부터 고기를 구웠지요~ ㅋㅋ 오후에는 비가 오니 부침개를 부쳤어요. 파김치가 조금 남아있는데 안 먹어져서 이걸로 파김치부침개를 만들어봤어요. ?,[재료] 파김치| 부침가루 9T| 전분 3T| 물| 기름,2인분,초급,30분이내,2.02E+13," 파김치, 부침가루, 전분, 물, 기름"
313,6930997,노른자만 남았을때! 카라멜 커스터드푸딩 만들기? ,카라멜커스터드푸딩,44412517,오늘도♡달콤한♡하루,5792,0,212,기타,일상,달걀/유제품,디저트,머랭쿠키를 만들고 남은 노른자로  탱글~ 달달한 카라멜 푸딩 입니다^^ 노른자로도 맛있는 푸딩을 만들어 보세요^^,[재료] 우유 150g| 판 젤라틴 2장| 노른자 2개| 설탕a 40g| 바닐라 익스트렉 1작은술| 설탕b 50g| 물 100g,2인분,아무나,2시간이상,2.02E+13," 우유, 판젤라틴, 달걀, 설탕, 바닐라익스트렉, 물"
314,6931008,감자달갈샐러드 모닝빵 샌드위치 ~,감자달걀샐러드모닝빵샌드위치,98491802,팝콘애,5560,0,86,기타,일상,달걀/유제품,빵,아무래도 주말에는 브런치가 좋은듯 합니다.ㅎ 초간단 감자도 먹고 달걀도 먹고 적당히 야채도 먹고 빵도 먹고 일석4조 이지요.ㅎㅎ 요즘 야채 많이 안 먹는 우리 애들 간식으로 한번 해두면 이틀은 잘 활용 해 먹는듯 합니다.ㅎ 저는 외출시 해두고 나가면 큰 아이는 곧잘 빵 구워 간식으로 혼자 뚝딱 해결하고 해서 더 좋구요.ㅎ 오늘 휴일 ~~ 예전 같으면 브런치 하러 곧잘 나가곤 했습니다만 지금은 코로나19로 장기 집콕이라 집에서 브런치 해 봅니다.ㅎㅎ 부담없는 브런치로 주말 시작 즐겁게 보내세요 ~~^^♡♡ ,[재료] 모닝빵| 감자| 달걀| 오이| 당근| 양파 조금 [양념] 머스타드| 가는소금| 설탕| 천일염,4인분,아무나,30분이내,2.02E+13," 모닝빵, 감자, 달걀, 오이, 당근, 양파, 머스타드소스, 소금, 설탕, 천일염"
315,6931009,만남의광장멸치국수만들기,멸치국수,39806793,순수해숍,1172,0,6,삶기,일상,밀가루,면/만두,잔치국수 비빔국수도 맛있지만 이것도색다르니 맛있네요,[재료] ?국수 1줌| 당근1/5개| 호박1/4개| 양파1/4개| 아기 멸치 6큰술| 상추4장| 통깨 약간| 참기름 약간 [양냠장재료] 오일1.5큰술| 파1/2대| 진간장1큰술| 설탕1큰술| 다진마늘1.5큰술| 노추 없으면 진간장1.5큰술| 후춧가루 약간,1인분,아무나,60분이내,2.02E+13,"소면, 당근, 호박, 양파, 멸치, 상추, 통깨, 참기름, 오일, 대파, 진간장, 설탕, 다진마늘, 진간장, 추후"
316,6931010,다래순 산나물 무침과 비빔밥,다래순산나물무침,rh0301,lee쉐프,1074,0,12,무침,일상,채소류,메인반찬,봄의 시작을 알리는 다래순이라는 산나물을 한줌 얻어와 무쳐봤습니다. 한입 먹은 순간 입안에서 봄향기가 느껴집니다 ,[재료] 다래순 250g| 천일염 약간| 밥 [양념] 매실청 1큰술| 고운소금 1/2작은술| 참치액 1작은술| 깨소금 1큰술| 들기름 1큰술,3인분,초급,15분이내,2.02E+13," 다래순, 천일염, 밥, 매실청, 소금, 참치액 , 깨소금, 들기름"
317,6931014,묵은지김치 박대조림,묵은지김치박대조림,jylhee070467,밥심은국력,969,0,17,조림,일상,건어물류,메인반찬,안녕하세요? 밥심은 국력입니다. 잘 숙성시킨 묵은지  그 깊은 맛은 요리를 한결 업그레이드 시켜주는데요. 찌개  조림 볶음밥 등 어떤 요리와도 잘 어울리지요. 오늘은 100% 국내산 재료로 만든 30년 전통의 묵은지 김치를 소개해볼게요. 아울러 이 묵은지김치를 넣어 박대조림을 만들어 보겠습니다.,[재료] 묵은지 1/4포기| 박대 3마리| 멸치다시마팩 1팩| 물 2컵| 대파 1대| 양파 1/2개| 청양고추 1개| 홍고추 1개| 통깨 약간 | 진간장 5큰술| 청양고춧가루 1큰술| 고춧가루 4큰술| 맛술 2큰술| 청주 1큰술| 매실청 1큰술| 다진마늘 1+1/2큰술| 생강가루 약간| 식용유 1큰술 ,4인분,초급,30분이내,2.02E+13," 묵은지, 박대, 다시팩, 물, 대파, 양파, 청양고추, 고추, 통깨, 진간장, 고춧가루, 맛술, 청주, 매실청, 다진마늘, 생강가루, 식용유"
318,6931016,사위도 안 준다는 초벌부추 비빔밥,초벌부추비빔밥,hskim4127,저녁노을,753,0,11,비빔,일상,채소류,밥/죽/떡,사위도 안 준다는 초벌 부추 비빔밥 사위도 안 준다는데 지인이 가져다준 초벌 부추 무쳐서 비빔밥 만들어 먹었어요.,[재료] 부추 80g| 액젓 1숟가락| 고춧가루 1숟가락| 밥| 깨소금| 참기름 약간,4인분,초급,5분이내,2.02E+13," 부추, 액젓, 고춧가루, 밥, 깨소금, 참기름"
319,6931027,10분 안에 후다닥 만드는!! 새콤달콤 돈나물무침★,돈나물무침,22574429,영양사밍글,3209,0,51,무침,일상,채소류,밑반찬,봄이 오니 파릇파릇한 돈나물 무침이 생각났어요:) 식탁에 새콤달콤한 돈나물무침으로 향긋함을 더해보실래요? ,[주재료] 돈나물 41g [양념] 다진마늘 9g| 진간장 1t| 고춧가루 1/2t| 고추장 1/2t| 식초 1ml| 설탕 1ml,1인분,아무나,10분이내,2.02E+13," 돈나물, 다진마늘, 진간장, 고춧가루, 고추장, 식초, 설탕"
320,6931029,숙주우엉잡채,숙주우엉잡채,24900330,慈明!~,1085,0,16,볶음,초스피드,채소류,메인반찬,우엉조림 할 시간이 촉박하여 우엉잡채로 전환하여 냉장고에 남은 야채들과 함께~ ^^,[재료] 우엉 2대| 숙주 1봉지 600g| 파프리카 각 1개씩| 당근 1개 [양념] 마늘 1T| 간장 2T| 굴소스 1T| 참기름 1T| 아보카도 오일 1T| 깨 2T,4인분,아무나,30분이내,2.02E+13," 우엉, 숙주, 파프리카, 당근, 마늘, 간장, 굴소스, 참기름, 아보카도오일, 깨"
321,6931030,쫀득쫀득  마성의 말차 테린느,말차테린느,bunnify,버니파이Bunnify,1566,0,89,굽기,간식,기타,디저트,말차와 화이트 초콜릿의 꿀조합과 쫀득한 식감이 매력적인 말차 테린느  오란다틀(대) 기준: 가로x세로x높이 15x7x6.5(cm),[재료(15x7x6.5(cm))] 실온 달걀 135g| 설탕 40g| 화이트 초콜릿 200g| 녹인 무염버터 70g| 데운 생크림 100g| 말차 가루 14g| 옥수수 전분 또는 박력분 10g| 말차가루(장식용) 약간,4인분,초급,2시간이내,2.02E+13,"달걀, 설탕, 화이트초콜렛, 버터, 생크림, 말차가루, 옥수수전분"
322,6931042,파프리카버섯볶음 다이어트에 좋아요!,파프리카버섯볶음,kshchs326,캔캔맘,7773,0,440,볶음,다이어트,채소류,메인반찬,파프리카의 아삭한 식감과 느타리버섯의 쫄깃한 식감이 아주 좋아요. 포만감과 식감이 좋아 반접시만 먹어도 배가 부르답니다. 요즘 처럼 집에만 있으니 살이 쪄서 다이어트할때 딱 좋아요!,[재료] 느타리버섯 1/2팩| 파프리카 1개| 양파 1/2개| 꽃새우 1줌| 다진마늘| 올리브유 1T| 진간장 1T| 들기름 1t| 후추가루 톡톡톡,2인분,아무나,15분이내,2.02E+13," 느타리버섯, 파프리카, 양파, 새우, 다진마늘, 올리브오일, 진간장, 들기름, 후추"
323,6931051,밑반찬 시금치건새우볶음 만들기,시금치건새우볶음,qkrfp458,레몬콩,436,0,10,볶음,일상,채소류,밑반찬,건새우를 이번에 구입했는데 늘 마늘종에만 볶아먹기도 했고 집에 있는 시금치가 곧 안녕할거 같아서 후다닥 만들어본 밑반찬 시금치건새우볶음 입니다!,[재료] 시금치 1단| 건새우 밥그릇 1공기| 다진마늘 1t| 진간장 2T| 소금 1t,2인분,아무나,15분이내,2.02E+13," 시금치, 건새우, 다진마늘, 진간장, 소금"
324,6931064,봄쑥 씨앗 식빵 만들기,봄쑥씨앗식빵,ardour,초록바람N,462,0,11,굽기,간식,밀가루,빵,동네 산책을 많이 하게 되는 요즘~! 주로 동네 산을 많이 찾게 되는데요  산을 천천히 오르다보면 파릇파릇한 새싹과 함께 푸릇푸릇 돋아 있는 봄쑥이 넘 반갑더라구요. 그 봄쑥을 넉넉히 캐서 쑥 부침개도 해먹고 쑥 국도 끓여 먹구요. 그러다 이 향긋한 봄쑥을 베이킹에 어떻게 이용해볼까 하다가 해바라기씨앗과 호박씨을 넉넉히 넣어 봄쑥 식빵을 만들어 봤어요.완성된 봄쑥 씨앗 식빵은 향긋한 쑥향이 은은하면서도 콕콕 씹히는 고소한 씨앗들이 참 좋더라고요. 한조각만 먹어도 그냥 마냥 건강해질것 같은 느낌이 가득한 그런 식빵이었어요. 저는 쑥의 쓴맛이 걱정이 되서 데쳐서 만들어 봤는데요  요즘은 같은 여린 봄쑥은 데치지 않고 생쑥으로 빵을 만들면 쑥향이 더 좋을것 같아요. 쑥을 한번 더 캐다가 생쑥 식빵도 한번 만들어 볼까 싶네요. 건강한 봄쑥 씨앗 식빵~! 만들어 보아요~,[재료] 옥수수 식빵팬 1개분| 강력분 250g| 우리밀 통밀 50g| 소금 5g| 인스턴트 드라이 이스트 6g| 달걀 1개| 비정제 설탕 20g| 포도씨오일 20g| 데친쑥 85g| 저지방 우유 110g| 물 10~40g| 해바라기씨 50g| 호박씨 50g,3인분,아무나,2시간이상,2.02E+13,"강력분, 통밀가루, 소금, 이스트, 달걀, 설탕, 포도씨오일, 쑥, 우유, 물, 해바라기씨, 호박씨"
325,6931065,아이간식! 시판믹스를 이용한 고구마모양빵 만들기♡,고구마모양빵,71369519,김남매의삼시세끼,1535,0,60,기타,초스피드,기타,디저트,아이들 간식으로 고구마모양빵을 만들어주었어요 시판믹스를 이용해서 아이들 가정보육하며 스피드로 만들수있고  고구마모양이라 더 좋아하는 아이들이에요:-) 안에는 진짜 고구마가 들어가니 영양도만점☆☆☆,[재료] 깨찰빵믹스 1봉| 계란 1개| 우유 90ml| 아몬드가루 1컵| 고구마 4개| 자색고구마가루 1봉지| 시나몬가루 1t,3인분,초급,30분이내,2.02E+13," 깨찰빵믹스, 달걀, 우유, 아몬드가루, 고구마, 자색고구마가루, 시나몬가루"
326,6931072,미역콩나물국,미역콩나물국,30810305,요리조이,1187,0,20,끓이기,일상,채소류,국/탕,비가오니까 뜨끈한 국물이 너무 좋네요,[재료] 콩나물 250g| 미역 2줌| 무 1도막| 중멸치 1줌| 다시마 1조각 [양념] 멸치액젓 5T| 들기름 1T| 다진마늘 1T,6인분이상,초급,30분이내,2.02E+13," 콩나물, 미역, 무우, 멸치, 다시마, 멸치액젓, 들기름, 다진마늘"
327,6931074,♥[신혼밥상] 콩나물 어묵찜 원팬 뚝딱!,콩나물어묵찜,fkaldbs,행복한윤블리네,6812,0,366,볶음,일상,채소류,밑반찬,해물찜 부럽지 않는 맛! 단돈 3천 원으로 즐기는 고급메뉴 아삭아삭 콩나물과 해물맛 나는 어묵 매콤 달달 양념이 어울어져 밥 1공기 뚝딱!,[재료] 콩나물 2줌| 어묵 5장| 대파 1대| 양파 1/2개| 미나리 1줌| 새송이버섯 2꼭지| 소금 1꼬집| 후춧가루 적당히| 참기름 1숟가락| 통깨 1숟가락| 전분 1숟가락 [양념장] 고춧가루 2숟가락| 간장 1숟가락| 멸치액젓 1숟가락| 설탕 1숟가락| 올리고당 1숟가락| 맛술 1숟가락| 매실청 1숟가락| 다진마늘 1숟가락,2인분,초급,,2.02E+13," 콩나물, 어묵, 대파, 양파, 미나리, 새송이버섯, 소금, 후추, 참기름, 통깨, 전분, 고춧가루, 간장, 멸치액젓, 설탕, 올리고당, 맛술, 매실청, 다진마늘"
328,6931082,메추리알 ? 비트에 물들다 ? 손님접대,메추리알,32865661,우수Food,1774,0,28,삶기,손님접대,달걀/유제품,밑반찬,피클은 주로 고기먹을때만 먹게 되어 메추리알에 활용해보았어요. 손님초대해야겠네요.,[재료] 레드피클물 200ml| 메추리알 35개| 채소 아무거나 1줌,2인분,아무나,60분이내,2.02E+13," 레드피클, 메추리알"
329,6931085,크로와상 오믈렛 샌드위치,크로와상오믈렛샌드위치,82954729,토론토셰니,990,0,11,부침,간식,달걀/유제품,빵,고소하고 부드러운 버터 크로와상 오믈렛 샌드위치,[재료] 양파 1/4| 마늘 1/2 티스푼| 오이 1/2개| 피망 1/2개| 버터 1 스푼| 샐러드용 시금치 한 웅큼| 계란 3-4 개| 소금| 후추 적당히 간맞추는용| 마요네즈 펴바를만큼| 크로와상 빵2개,2인분,아무나,,2.02E+13," 양파, 마늘, 오이, 피망, 버터, 시금치, 달걀, 소금, 후추, 마요네즈, 크로와상"
330,6931090,밑반찬 만들어두면 든든한 깻잎절임 만드는 법,깻잎절임,qkrfp458,레몬콩,2607,0,63,절임,일상,채소류,밑반찬,저는 깻잎을 굉장히 좋아하는데 집에서 농사를 하니까 늘 어머니가 밑반찬으로 만들어주시던게 깻잎절임인데요 대학생이 되고 도시로 나오면서 동생이랑 둘이 사니까 이런 반찬들을 사먹는것보단 만들어 먹는게 좋다는걸 알았어요 그래서 이번에는 어머니레시피로 만들어본 깻잎절임입니다! 요 간장에 밥 비벼 먹으면 맛있는거 다들 잘 아시죠?,[재료] 깻잎 2봉지| 홍고추 1개| 청양고추 1개| 물 깻잎을데칠정도만 [양념간장 만드는 법] 진간장 작은 사이즈 간장 1/2통| 고춧가루 2.5T| 물엿 6~8T| 설탕 2T| 다진마늘 2t| 깨 1T,3인분,초급,60분이내,2.02E+13," 깻잎, 고추, 청양고추, 물, 진간장, 고춧가루, 물엿, 설탕, 다진마늘, 깨"
331,6931091,제철요리 보리밥에 밥비벼 먹기 좋은 3가지 봄나물무침,봄나물무침,92174683,요리톡톡 맛톡톡,1138,0,14,무침,일상,기타,밑반찬,이제 계절이 완연한 봄이네요 지금 지나면 맛볼수 없는 봄나물을 동네 야채가게에서 사왔어요  제가 좋아하는것들로만 사와 무쳤더니 진짜 맛있네요  근데 머리굴려 원츄리는 쉽게 데쳐  먹는다고 한것이 방치해둬 색깔이 좀 변한 참사가 일어났어요^^;; 그래도 다행히 맛은 그대로라 너무  잘먹었지요  보리밥에 비벼먹는 봄나물 맛이란 나물 좋아하시는분들은 상상이 가실꺼에요ㅋ 파릇파릇 새기운을 느끼는 딱 그맛~~  봄나물중 제일 짧게 나오는 원츄리는 지금 빨리  서두르셔야 맛보실수 있다는거 아시죠  정말 맛있는 봄나물 금방 지나가기전에 맛있게 맛보세요^^  오늘도 건강 유의하세요~♡,[재료] 원츄리 1봉| 비름나물 1봉| 하루나 1봉| 굵은소금 3t [양념] 고추장 4T| 된장 1T| 까나리액젓 3T| 고추가루 1t| 마늘 2T| 조미료 소량| 파| 통깨| 참기름,6인분이상,아무나,30분이내,2.02E+13," 원츄리, 비름나물, 하루나, 소금, 고추장, 된장, 까나리액젓, 고춧가루, 마늘, 파, 통깨, 참기름"
332,6931092,밥도둑 실치 고추장물~*,실치고추장물,62299079,밥차리라,1282,0,12,조림,일상,건어물류,밑반찬,밥도둑 밑반찬 실치 고추장물 입맛 없을때 딱~ 실치 대신 다시멸치 잔멸치 중멸치 ok,[재료] 실치120g| 땡초10개 [양념] 간장3큰술| 액젓1큰술| 다진마늘1큰술| 갈색설탕1+1/2큰술| 들기름3큰술| 맛술2큰술| 통깨 솔솔| 물350ml,6인분이상,아무나,30분이내,2.02E+13," 실치, 청양고추, 간장, 액젓, 다진마늘, 설탕, 들기름, 맛술, 통깨, 물"
333,6931100,새콤달콤 백김치 요리 / 백김치 볶음,백김치볶음,62929808,요알남Mingstar,3813,0,43,볶음,일상,기타,밑반찬,백김치를 이용하여 볶음을 만들어 보세요. 01:16 초 부터 보세요.,[재료] 백김치 200g| 대파 1/2대 [양념] 참기름 2Ts| 다진 마늘 1Ts| 설탕 1/2Ts| 간장 2Ts,1인분,아무나,10분이내,2.02E+13," 백김치, 대파, 참기름, 다진마늘, 설탕, 간장"
334,6931115,부추대신 세발나물 오이무침!,세발나물오이무침,37279613,왕눈이의맛있는이야기,2762,0,36,무침,일상,채소류,밑반찬,부추대신해서 가격저렴한 봄나물 세발나물과 함께 만들어본 오이무침이네요,[재료] 백오이 7개| 세발나물 150g [양념] 고추가루 5큰술| 멸치액젓 5큰술| 다진마늘 2큰술| 뉴슈가 조금| 통깨 2큰술| 소금 3큰술,6인분이상,아무나,2시간이내,2.02E+13,"오이, 세발나물, 고춧가루, 멸치액젓, 다진마늘, 뉴슈가, 통깨, 소금"
335,6931117,크래미샐러드,크래미샐러드,30810305,요리조이,579,0,10,무침,일상,채소류,샐러드,건강하게 샐러드 만들었어요 ,[재료] 크래미 3개| 청경채 1개| 양파 1/4개| 토마토 1개| 키위 1개 [양념] 간장 1T| 다진마늘 1T| 식초 2T| 설탕 1T| 올리브유 2T| 소금 조금,4인분,초급,15분이내,2.02E+13," 크래미, 청경채, 양파, 토마토, 키위, 간장, 다진마늘, 식초, 설탕, 올리브유, 소금"
336,6931119,입맛 없을 때 쉽게 만드는 쪽파 강회,쪽파강회,ohmybk,손에물이마를날이없는남자,932,0,37,데치기,일상,채소류,밑반찬,새콤달콤한 초장에 찍어 먹는 쪽파 강회,[재료] 쪽파 1/2단| 고추장 3수저| 식초 4수저| 설탕 2수저| 맛술 1수저,2인분,아무나,5분이내,2.02E+13," 쪽파, 고추장, 식초, 설탕, 맛술"
337,6931122,어린이날 간식 고구마 찹쌀 부꾸미 만드는 법 고구마 요리,고구마찹쌀부꾸미,98924365,815요리사랑,1108,0,56,굽기,간식,채소류,디저트,아이 간식으로 강추~ 어린이날 간식으로 좋은 고구마 부꾸미 달달하니 맛나요,[재료] 찐고구마 300g| 팥앙금 적당히| 찹쌀가루 2스푼| 우유 50ml| 소금 약간| 식용유,3인분,아무나,30분이내,2.02E+13,"고구마, 팥앙금, 찹쌀가루, 우유, 소금, 식용유"
338,6931126,해물 콩나물찜 만들기/한번 먹으면 또 먹고싶은맛 /매콤달콤한 콩나물찜/단체급식  구내식당 레시피,해물콩나물찜,99952196,#NAME?,1923,0,17,찜,일상,해물류,메인반찬,한번 먹으면 또 먹고싶은맛! 매콤달콤한 콩나물찜 만들어보세요!!,[재료] 모듬해물 2kg| 콩나물 3kg| 미나리 350g| 대파 200g| 양파 600g| 청양고추 10개| 참기름 1주걱 [양념재료] 진간장 2주걱| 혼다시 1주걱| 멸치액젓 1주걱| 생강 조금| 마늘 2큰술| 설탕 3주걱| 고춧가루 3주걱| 후추 조금| 굴소스 조금,6인분이상,아무나,2시간이내,2.02E+13," 모듬해물, 콩나물, 미나리, 대파, 양파, 청양고추, 참기름, 진간장, 혼다시, 멸치액젓, 생강, 마늘, 설탕, 고춧가루, 후추, 굴소스"
339,6931136,새콤달콤한 봄나물 샐러드~미나리 세발나물 오이무침!,미나리세발나물오이무침,37279613,왕눈이의맛있는이야기,1273,0,13,무침,초스피드,채소류,샐러드,삼겹살파티하면서 파절이대신해서 곁들여본  봄나물로 만든 아삭하면서 향긋한 샐러드이네요,[재료] 세발나물 100g| 백오이 1개| 미나리 1줌 [양념] 멸치액젓 2큰술| 간장 1큰술| 2배식초 1큰술| 설탕 2큰술| 다진마늘 1작은술,4인분,아무나,15분이내,2.02E+13," 세발나물, 오이, 미나리, 멸치액젓, 간장, 식초, 설탕, 다진마늘"
340,6931145,< 밥반찬> 두부달걀말이,두부달걀말이,30810305,요리조이,954,0,28,부침,일상,채소류,밑반찬,고소한 밥반찬 두부달걀말이 입니다 ,[재료] 달걀 2개| 두부 100g| 양파 1/6개| 대파 1/6개 [양념] 멸치액젓 1T,2인분,초급,10분이내,2.02E+13," 달걀, 두부, 양파, 대파, 멸치액젓"
341,6931148,김치덮밥~*,김치덮밥,62299079,밥차리라,512,0,9,볶음,초스피드,채소류,밥/죽/떡,있는 재료들로 간단 한그릇 밥,[재료] 익은김치1인분량| 당면30g [양념] 굴소스1티스푼 | 갈색설탕1티스푼 | 후추 톡톡| 통깨,1인분,아무나,30분이내,2.02E+13,"묵은지, 당면, 굴소스, 설탕, 후추, 통깨"
342,6931150,든든한 별미 카레떡볶이:D,카레떡볶이,13710024,로즈현,500,0,13,볶음,초스피드,채소류,면/만두,신랑이 떡볶이를 먹고싶어하길래 여태 안해본 카레떡볶이를 해봤어요:D,[재료] 떡국떡 4종이컵| 어묵 8장| 고구마 2종이컵| 사과 1/2개| 우동면 1덩어리 [양념] 카레가루 6숟가락| 간장 2숟가락| 다진마늘 2숟가락| 고춧가루 약간| 올리고당 6숟가락,2인분,아무나,30분이내,2.02E+13," 떡국떡, 어묵, 고구마, 사과, 우동면, 카레가루, 간장, 다진마늘, 고춧가루, 올리고당"
343,6931155,브로콜리생채(브로콜리대),브로콜리생채,28613027,마미집밥,363,0,6,무침,일상,채소류,김치/젓갈/장류,브로콜리을 사면 대을 이용할수 방법을 찾다 송이는 따로 데쳐먹고 브로콜리대로 생채을  시도해봅니다,[재료] 브로콜리 4개| 양파 1새| 쪽파 1/2줌| 당근 1/2개 [양념] 소금 2큰술| 고추가루 2큰술| 매실액 1큰술| 다진마늘 1쿤술| 생강즙 1t| 새우젓 1/2큰?| 참기름 적당히| 통깨 적당히,6인분이상,초급,30분이내,2.02E+13," 브로콜리, 양파, 쪽파, 당근, 소금, 고춧가루, 매실액, 다진마늘, 생강즙, 새우젓, 참기름, 통깨"
344,6931158,초간단 요리초보 쉬운요리 간단메뉴 간식 디저트 아이간식 생크림 딸기롤 샌드위치,딸기롤샌드위치,simple,집밥한끼,2969,0,74,기타,초스피드,과일류,기타,소풍 가고 싶소~ ㅡㅡ,[재료] 딸기 15| 휘핑크림 300ml| 식빵 5장| 설탕 선택,1인분,아무나,15분이내,2.02E+13," 딸기, 휘핑크림, 식빵, 설탕"
345,6931167,봄나물 머위장아찌 황금레시피 끓이지 않고 간단하게~~,머위장아찌,mare326,어부동김반장,3981,0,7,절임,일상,채소류,밑반찬,요즘 봄나물이 많이 나오지요. 봄나물 머위장아찌를 만들었어요. 끓이지 않고 청정원 맛간장만 부어주면 새콤달콤 맛있는 머위장아찌가 만들어 집니다. 넉넉하게 만들었다가 여름내내 고기요리와 먹으면 너무 좋겠지요.,[재료] 삶은 머위 500g| 청정원 간장피클용 맛간장 3컵| 마른 청양고추 3개,6인분이상,초급,15분이내,2.02E+13,"머위, 간장, 청양고추"
